id,string1,string2,string3,string4
1,potatoes,be,spread,s
2,wash,morning,sat,thought
3,daughter,duck,news,real
4,flower,once,physical,production
5,nuts,rain,higher,everyone
6,body,close,simple,fort
7,rhyme,mail,force,entire
8,plural,possible,neck,steam
9,explain,river,purple,third
10,ready,somebody,shot,coat
11,blow,joined,account,dress
12,audience,plate,flow,town
13,beat,independent,distance,is
14,happen,crack,plant,wall
15,feed,usually,trouble,park
16,surprise,difficulty,from,harbor
17,flow,asleep,ship,victory
18,smile,handle,nearby,reader
19,author,nobody,mean,leave
20,pie,way,character,size
21,tonight,wind,cake,wide
22,poor,willing,post,memory
23,is,guard,wife,held
24,exercise,you,nearer,central
25,bridge,person,shore,discussion
26,afraid,grown,simplest,honor
27,job,liquid,involved,burn
28,whether,card,jump,cutting
29,principle,blew,poem,hard
30,laugh,plastic,truck,combine
31,monkey,therefore,result,properly
32,picture,than,wave,fair
33,bend,vote,meat,mice
34,numeral,ride,pond,slide
35,forest,bee,chicken,public
36,hot,end,raw,nose
37,finally,command,flow,weak
38,ill,although,riding,daughter
39,tin,honor,course,raw
40,mountain,dance,spite,heart
41,chart,nation,bigger,speech
42,headed,color,drew,perfect
43,screen,library,becoming,paid
44,able,leave,shirt,size
45,sail,bite,discovery,pressure
46,planned,corner,station,largest
47,instance,track,river,fish
48,dream,cloth,air,increase
49,disappear,hide,simplest,paint
50,stems,farm,grass,dozen
51,throat,third,dangerous,birth
52,activity,product,muscle,quite
53,hang,section,teeth,whale
54,wear,badly,closely,mighty
55,me,throat,than,thick
56,fruit,heading,picture,his
57,serve,around,chemical,seeing
58,rapidly,addition,friendly,including
59,still,farther,ancient,fun
60,nice,crop,iron,off
61,instead,tin,stomach,edge
62,electric,practical,rice,differ
63,deal,climb,street,uncle
64,strong,sing,various,treated
65,beauty,equator,under,various
66,parallel,yes,range,mental
67,price,somehow,help,know
68,provide,frighten,wet,waste
69,if,golden,serve,mile
70,does,yard,nearer,realize
71,radio,if,flow,enemy
72,missing,unless,bigger,fly
73,opposite,memory,accept,course
74,identity,was,end,observe
75,dangerous,expect,origin,pupil
76,will,therefore,military,each
77,plates,difficulty,speak,escape
78,block,correctly,rush,anything
79,lie,shall,straw,cause
80,shoot,shaking,entirely,zero
81,flight,heard,dig,shinning
82,plant,thank,long,tropical
83,mission,magnet,general,pencil
84,tube,combination,thirty,series
85,two,fuel,taste,flame
86,chance,they,child,finest
87,climb,nervous,tape,believed
88,move,buy,breathing,provide
89,spread,finest,early,design
90,greatly,think,guard,program
91,only,tank,development,instead
92,wave,welcome,treated,cover
93,package,angry,home,football
94,member,appearance,powder,bend
95,live,what,yellow,race
96,mainly,atmosphere,expression,hardly
97,comfortable,failed,train,choice
98,goes,ability,travel,cry
99,black,occur,brain,pleasure
100,turn,create,something,across
101,round,certain,lose,damage
102,table,sport,dull,grow
103,daughter,therefore,win,drop
104,belt,height,swept,gather
105,gulf,ranch,pound,allow
106,captain,sets,parts,science
107,law,men,hunt,sheet
108,free,farther,hundred,center
109,milk,selection,wonder,damage
110,root,value,determine,constantly
111,cut,battle,couple,corner
112,curious,hurry,dust,than
113,triangle,government,driving,attached
114,married,leaving,plenty,mad
115,someone,product,screen,peace
116,noun,city,on,force
117,myself,atomic,familiar,told
118,remember,cabin,finest,moon
119,town,model,definition,pressure
120,bell,swam,atom,clay
121,said,police,during,salmon
122,managed,train,examine,together
123,open,mother,adult,fast
124,mad,sister,yet,cup
125,fly,close,paid,spent
126,while,train,final,clock
127,fill,better,knife,trail
128,knife,smell,club,memory
129,beneath,familiar,property,mice
130,energy,then,laid,carried
131,sunlight,without,worker,lunch
132,fellow,along,capital,command
133,development,lamp,laid,heavy
134,law,phrase,line,poet
135,took,shape,include,science
136,theory,ice,sang,part
137,wrong,longer,gate,parts
138,vapor,hunter,local,moment
139,compare,society,lose,observe
140,bean,remember,fewer,ocean
141,dot,might,appearance,liquid
142,warn,president,tell,year
143,card,combination,require,range
144,needs,function,that,gulf
145,ten,nearer,wife,instrument
146,atom,pack,building,instance
147,deeply,gate,wind,joy
148,policeman,government,jump,quietly
149,copy,die,control,before
150,fresh,gently,run,parallel
151,journey,swimming,bare,done
152,shine,breakfast,steam,mine
153,plain,clothing,rocky,help
154,except,every,gulf,hardly
155,bone,master,bank,discussion
156,quite,five,treated,is
157,involved,anywhere,appearance,public
158,diameter,on,action,pride
159,explain,aware,scale,vapor
160,positive,vowel,soon,consonant
161,cannot,describe,well,his
162,tail,ordinary,fort,today
163,vegetable,sign,around,poor
164,swung,was,current,location
165,six,drive,giving,although
166,paper,plant,fair,buried
167,alone,temperature,widely,nose
168,draw,war,heart,away
169,political,contrast,skill,reach
170,standard,out,stream,truth
171,am,successful,thus,stretch
172,somewhere,fun,into,down
173,path,younger,paint,officer
174,path,school,per,cook
175,fish,die,home,edge
176,safe,rate,while,division
177,sail,than,rule,nation
178,ship,say,noise,brief
179,stretch,whistle,allow,especially
180,unless,chief,birds,community
181,lose,price,smooth,position
182,original,voice,perfect,movement
183,tape,over,pull,brave
184,pine,date,dull,my
185,rhyme,walk,whom,wealth
186,try,disappear,general,hand
187,decide,understanding,lonely,experience
188,pure,he,social,no
189,sold,silence,fully,printed
190,breeze,decide,hospital,effect
191,hot,ordinary,would,also
192,chance,remarkable,flat,remove
193,fairly,private,become,lunch
194,point,through,force,hold
195,seldom,remain,nor,surrounded
196,probably,some,stand,higher
197,indicate,mine,fix,musical
198,gentle,put,driving,length
199,trail,just,room,thirty
200,told,elephant,respect,jar
201,simply,quite,movement,lake
202,ants,high,vapor,earn
203,discovery,hello,sheep,moon
204,plates,many,composed,strength
205,chest,rain,ride,barn
206,unhappy,policeman,deer,helpful
207,feed,below,coast,vessels
208,future,keep,slow,motion
209,ahead,face,off,skill
210,divide,solve,play,smallest
211,satisfied,wheel,gasoline,men
212,piece,simple,list,situation
213,other,when,congress,manner
214,full,pony,equal,damage
215,yesterday,glass,egg,thick
216,pine,work,successful,slightly
217,fun,track,sets,bound
218,top,negative,be,kids
219,my,mail,determine,gray
220,observe,explanation,tip,tie
221,failed,village,figure,thing
222,sense,comfortable,pair,outline
223,country,class,softly,twice
224,iron,call,yet,affect
225,open,done,perhaps,leg
226,smell,grass,product,ruler
227,something,manner,grandmother,decide
228,rich,larger,very,hundred
229,dollar,angle,rhyme,zero
230,air,struck,certainly,clay
231,everybody,fireplace,piano,discussion
232,air,title,foreign,home
233,balance,everywhere,quiet,half
234,pen,silk,heard,nearly
235,none,increase,having,cloud
236,season,due,milk,bone
237,child,swam,double,last
238,news,extra,eleven,fort
239,avoid,leaving,hungry,been
240,such,distance,speech,settlers
241,tail,cook,tower,gulf
242,oxygen,lips,climb,gas
243,flame,jump,television,ocean
244,amount,claws,land,hard
245,even,cross,room,mix
246,give,tax,eight,fifth
247,been,after,equally,action
248,sides,border,coming,second
249,number,later,lay,acres
250,eleven,shelf,prepare,well
251,because,date,shoulder,frozen
252,invented,dull,wheat,queen
253,gradually,forty,around,spell
254,flag,chart,plastic,slabs
255,noise,route,blue,paint
256,post,gravity,happen,dot
257,final,strange,faster,rise
258,calm,harbor,dance,slightly
259,spirit,reader,forward,shadow
260,blow,went,lion,vast
261,good,discovery,person,equator
262,average,nice,breathe,effect
263,probably,farmer,dream,lucky
264,mail,down,cookies,shaking
265,bright,breeze,determine,carried
266,swung,statement,rapidly,dear
267,ahead,dried,interior,duck
268,vote,special,expression,action
269,nation,palace,box,method
270,die,sold,consonant,wooden
271,welcome,father,vessels,young
272,board,wrote,pressure,matter
273,find,anything,pond,month
274,damage,thumb,spell,late
275,road,fierce,believed,down
276,fun,rather,empty,wonder
277,moment,above,safe,church
278,does,supper,ring,believed
279,knife,mother,product,can
280,give,fall,hat,train
281,combine,welcome,summer,tin
282,settlers,push,truth,feel
283,minerals,meant,bring,grandmother
284,tall,impossible,central,nearest
285,atom,origin,coast,flame
286,donkey,spent,eventually,column
287,inside,farm,layers,care
288,chamber,period,doll,sold
289,thread,toy,certainly,plastic
290,hay,select,love,detail
291,mile,affect,pair,flight
292,depth,bad,shown,bent
293,unhappy,note,carbon,blank
294,record,report,cream,sky
295,atmosphere,film,fur,fair
296,shade,principal,small,industrial
297,to,climate,fireplace,molecular
298,beauty,organization,high,like
299,instant,suppose,beginning,medicine
300,blue,characteristic,shoe,studying
301,inch,stream,various,post
302,foot,damage,listen,more
303,solve,breath,using,orange
304,electric,base,careful,adjective
305,accident,whale,source,forward
306,sit,led,nails,lips
307,opinion,any,source,rush
308,sat,appearance,leaf,product
309,indicate,vowel,orbit,change
310,please,strike,given,suppose
311,crop,dust,interest,suggest
312,universe,program,route,red
313,rabbit,crack,population,number
314,known,therefore,helpful,serious
315,him,tonight,sound,accurate
316,single,slabs,free,drop
317,threw,hit,letter,her
318,adventure,oldest,people,model
319,orbit,coat,thee,environment
320,police,gentle,chief,use
321,are,thou,rhyme,pupil
322,sport,they,worried,slightly
323,further,material,love,religious
324,region,meal,difficult,tax
325,across,hospital,asleep,ruler
326,hungry,start,note,skill
327,visitor,audience,honor,experiment
328,storm,into,story,contrast
329,forest,tonight,journey,attack
330,frighten,halfway,knowledge,bill
331,frozen,story,fun,my
332,similar,lay,division,through
333,battle,putting,grain,surface
334,lonely,region,sense,interest
335,tales,settle,save,evidence
336,plates,fair,correct,ear
337,depend,close,particularly,throw
338,action,hospital,harder,bit
