2,WASH,MORNING,SAT,THOUGHT
3,DAUGHTER,DUCK,NEWS,REAL
4,FLOWER,ONCE,PHYSICAL,PRODUCTION
5,NUTS,RAIN,HIGHER,EVERYONE
6,BODY,CLOSE,SIMPLE,FORT
7,RHYME,MAIL,FORCE,ENTIRE
8,PLURAL,POSSIBLE,NECK,STEAM
9,EXPLAIN,RIVER,PURPLE,THIRD
10,READY,SOMEBODY,SHOT,COAT
11,BLOW,JOINED,ACCOUNT,DRESS
12,AUDIENCE,PLATE,FLOW,TOWN
13,BEAT,INDEPENDENT,DISTANCE,IS
14,HAPPEN,CRACK,PLANT,WALL
15,FEED,USUALLY,TROUBLE,PARK
16,SURPRISE,DIFFICULTY,FROM,HARBOR
17,FLOW,ASLEEP,SHIP,VICTORY
18,SMILE,HANDLE,NEARBY,READER
19,AUTHOR,NOBODY,MEAN,LEAVE
20,PIE,WAY,CHARACTER,SIZE
21,TONIGHT,WIND,CAKE,WIDE
22,POOR,WILLING,POST,MEMORY
23,IS,GUARD,WIFE,HELD
24,EXERCISE,YOU,NEARER,CENTRAL
25,BRIDGE,PERSON,SHORE,DISCUSSION
26,AFRAID,GROWN,SIMPLEST,HONOR
27,JOB,LIQUID,INVOLVED,BURN
28,WHETHER,CARD,JUMP,CUTTING
29,PRINCIPLE,BLEW,POEM,HARD
30,LAUGH,PLASTIC,TRUCK,COMBINE
31,MONKEY,THEREFORE,RESULT,PROPERLY
32,PICTURE,THAN,WAVE,FAIR
33,BEND,VOTE,MEAT,MICE
34,NUMERAL,RIDE,POND,SLIDE
35,FOREST,BEE,CHICKEN,PUBLIC
36,HOT,END,RAW,NOSE
37,FINALLY,COMMAND,FLOW,WEAK
38,ILL,ALTHOUGH,RIDING,DAUGHTER
39,TIN,HONOR,COURSE,RAW
40,MOUNTAIN,DANCE,SPITE,HEART
41,CHART,NATION,BIGGER,SPEECH
42,HEADED,COLOR,DREW,PERFECT
43,SCREEN,LIBRARY,BECOMING,PAID
44,ABLE,LEAVE,SHIRT,SIZE
45,SAIL,BITE,DISCOVERY,PRESSURE
46,PLANNED,CORNER,STATION,LARGEST
47,INSTANCE,TRACK,RIVER,FISH
48,DREAM,CLOTH,AIR,INCREASE
49,DISAPPEAR,HIDE,SIMPLEST,PAINT
50,STEMS,FARM,GRASS,DOZEN
51,THROAT,THIRD,DANGEROUS,BIRTH
52,ACTIVITY,PRODUCT,MUSCLE,QUITE
53,HANG,SECTION,TEETH,WHALE
54,WEAR,BADLY,CLOSELY,MIGHTY
55,ME,THROAT,THAN,THICK
56,FRUIT,HEADING,PICTURE,HIS
57,SERVE,AROUND,CHEMICAL,SEEING
58,RAPIDLY,ADDITION,FRIENDLY,INCLUDING
59,STILL,FARTHER,ANCIENT,FUN
60,NICE,CROP,IRON,OFF
61,INSTEAD,TIN,STOMACH,EDGE
62,ELECTRIC,PRACTICAL,RICE,DIFFER
